storage,ram,warranty,days_since_posted,brand_enc,model_enc,district_enc,cond_New,cond_Used,price,brand,model,district,condition
256.0,6.0,0,30,34074.161073877825,27091.48565029078,103293.80948314318,False,True,23200.0,Vivo,Vivo Y20,Jaffna,Used
128.0,4.0,0,5,257365.38849646822,280262.88759545796,101348.45814434181,False,True,208600.0,Apple,iPhone 13,Galle,Used
256.0,12.0,0,5,40497.74011299453,43047.454393762484,85661.14130434782,False,True,47600.0,Oppo,Oppo F19,Gampaha,Used
256.0,8.0,1,365,97917.97445255474,169323.4803932598,101348.45814434181,True,False,186800.0,Samsung,Galaxy S21,Galle,New
128.0,6.0,0,1,97917.97445255474,54188.93971904517,95823.04900181488,True,False,61700.0,Samsung,Galaxy A23,Colombo,New
256.0,6.0,1,14,15386.073825503356,15921.774967089843,95823.04900181488,False,True,22000.0,Other,Infinix Hot 12,Colombo,Used
512.0,8.0,0,3,34074.161073877825,65264.916412581406,103293.80948314318,False,True,74600.0,Vivo,Vivo V21,Jaffna,Used
64.0,6.0,0,90,34074.161073877825,40875.88097580751,101149.44293738395,True,False,32800.0,Vivo,Vivo Y75,Ampara,New
128.0,8.0,0,14,97917.97445255474,63063.303347058965,82392.69750409125,True,False,78900.0,Samsung,Galaxy A32,Badulla,New
256.0,8.0,0,14,97917.97445255474,87801.75465945594,110952.47148247254,True,False,116300.0,Samsung,Galaxy A53,Kurunegala,New
64.0,3.0,0,90,15386.073825503356,15921.774967089843,100507.63829246433,False,True,12000.0,Other,Infinix Hot 12,Ratnapura,Used
128.0,8.0,0,60,97917.97445255474,253083.3507477765,103293.80948314318,True,False,257200.0,Samsung,Galaxy S23,Jaffna,New
256.0,6.0,0,60,15386.073825503356,26796.447781263545,95823.04900181488,False,True,27600.0,Other,Redmi Note 9,Colombo,Used
256.0,12.0,0,3,69119.74921630374,49548.710433680935,100507.63829246433,False,True,54800.0,Huawei,Huawei P40 Lite,Ratnapura,Used
512.0,12.0,0,2,69119.74921630374,49548.710433680935,103711.00702576112,True,False,93300.0,Huawei,Huawei P40 Lite,Kandy,New
32.0,3.0,0,1,19583.721190036482,32502.02687313935,103711.00702576112,True,False,20200.0,Nokia,Nokia G21,Kandy,New
