title,brand,model,storage_raw,ram_raw,condition,warranty,district,posted_date,price_raw
Redmi Redmi 9A 128GB,Redmi,Redmi 9A,128GB,4GB RAM,Used,No,Jaffna,"Jan 23, 2026","Rs. 60,900"
Samsung Galaxy A13 32GB,Samsung,Galaxy A13,32GB,2GB RAM,Used,No,Gampaha,"Jan 23, 2026","Rs. 179,000"
Apple iPhone 12 Pro 256GB (Warranty),Apple,iPhone 12 Pro,256GB,8GB RAM,Used,Yes,Gampaha,Yesterday,"Rs. 137,400"
Realme Realme GT Neo 2 128GB,Realme,Realme GT Neo 2,128GB,3GB RAM,New,No,Gampaha,"Dec 24, 2025","Rs. 104,400"
Samsung Galaxy A53 128GB,Samsung,Galaxy A53,128GB,3GB RAM,Used,No,Colombo,5 days ago,"Rs. 51,300"
Samsung Galaxy S21 128GB,Samsung,Galaxy S21,128GB,6GB RAM,Like New,No,Colombo,"Dec 24, 2025","Rs. 225,600"
Samsung Galaxy S23 128GB,Samsung,Galaxy S23,128GB,8GB RAM,Used,No,Anuradhapura,"Nov 24, 2025","Rs. 222,800"
Samsung Galaxy A72 64GB (Warranty),Samsung,Galaxy A72,64GB,8GB RAM,Used,Yes,Colombo,3 weeks ago,"Rs. 258,000"
Oppo Oppo A74 64GB,Oppo,Oppo A74,64GB,4GB RAM,Used,No,Kurunegala,"Aug 26, 2025","Rs. 47,700"
Xiaomi Redmi Note 11 128GB,Xiaomi,Redmi Note 11,128GB,6GB RAM,Used,No,Anuradhapura,"Jan 23, 2026","Rs. 77,000"
Redmi Redmi 9C 128GB,Redmi,Redmi 9C,128GB,8GB RAM,Like New,No,Jaffna,"Dec 24, 2025","Rs. 74,200"
Apple iPhone 14 Pro 128GB (Warranty),Apple,iPhone 14 Pro,128GB,3GB RAM,Like New,Yes,Mullaitivu,"Nov 24, 2025","Rs. 352,100"
Apple iPhone XS Max 128GB,Apple,iPhone XS Max,128GB,6GB RAM,Used,No,Trincomalee,3 weeks ago,"Rs. 346,900"
Samsung Galaxy A12 64GB (Warranty),Samsung,Galaxy A12,64GB,4GB RAM,New,Yes,Gampaha,6 days ago,"Rs. 256,700"
Apple iPhone 15 128GB (Warranty),Apple,iPhone 15,128GB,3GB RAM,Like New,Yes,Colombo,3 weeks ago,"Rs. 356,900"
Huawei Huawei P30 Pro 256GB (Warranty),Huawei,Huawei P30 Pro,256GB,12GB RAM,Used,Yes,Kalutara,"Dec 24, 2025","Rs. 113,200"
Motorola Moto E40 64GB,Motorola,Moto E40,64GB,4GB RAM,Used,No,Gampaha,5 days ago,"Rs. 16,200"
Motorola Moto G62 32GB,Motorola,Moto G62,32GB,2GB RAM,Used,No,Colombo,"Aug 26, 2025","Rs. 33,600"
Huawei Huawei Nova 5T 128GB,Huawei,Huawei Nova 5T,128GB,3GB RAM,Used,No,Kandy,3 weeks ago,"Rs. 128,200"
Apple iPhone 14 Pro 256GB,Apple,iPhone 14 Pro,256GB,12GB RAM,Used,No,Galle,3 days ago,"Rs. 139,900"
Huawei Huawei P30 128GB,Huawei,Huawei P30,128GB,6GB RAM,Used,No,Unknown,"Nov 24, 2025","Rs. 192,700"
Apple iPhone SE 128GB,Apple,iPhone SE,128GB,6GB RAM,New,No,Colombo,2 weeks ago,"Rs. 589,500"
Realme Realme C25 128GB,Realme,Realme C25,128GB,8GB RAM,New,No,Matara,3 days ago,"Rs. 59,200"
Xiaomi Mi 11 Lite 32GB (Warranty),Xiaomi,Mi 11 Lite,32GB,3GB RAM,Used,Yes,Colombo,"Feb 22, 2025","Rs. 19,900"
Apple iPhone XR 64GB (Warranty),Apple,iPhone XR,64GB,6GB RAM,Used,Yes,Kurunegala,"Jan 23, 2026","Rs. 93,200"
Xiaomi Mi 11 Lite 256GB,Xiaomi,Mi 11 Lite,256GB,6GB RAM,Like New,No,Kalutara,"Dec 24, 2025","Rs. 80,500"
Samsung Galaxy A32 32GB,Samsung,Galaxy A32,32GB,3GB RAM,Used,No,Galle,3 weeks ago,"Rs. 48,200"
Samsung Galaxy A72 64GB,Samsung,Galaxy A72,64GB,6GB RAM,Like New,No,Unknown,"Dec 24, 2025","Rs. 36,000"
Realme Realme C25 256GB,Realme,Realme C25,256GB,6GB RAM,Like New,No,Hambantota,"Dec 24, 2025","Rs. 34,900"
Samsung Galaxy M12 128GB (Warranty),Samsung,Galaxy M12,128GB,4GB RAM,Used,Yes,Puttalam,Yesterday,"Rs. 149,500"
Samsung Galaxy A12 128GB,Samsung,Galaxy A12,128GB,3GB RAM,New,No,Kandy,"Dec 24, 2025","Rs. 269,000"
Oppo Oppo A74 128GB,Oppo,Oppo A74,128GB,6GB RAM,Used,No,Colombo,1 week ago,"Rs. 112,600"
Realme Realme 8 256GB,Realme,Realme 8,256GB,6GB RAM,Used,No,Trincomalee,"Aug 26, 2025","Rs. 42,100"
Sony Sony Xperia 10 512GB,Sony,Sony Xperia 10,512GB,12GB RAM,Like New,No,Jaffna,1 week ago,"Rs. 281,800"
Realme Realme GT Neo 2 128GB,Realme,Realme GT Neo 2,128GB,4GB RAM,Like New,No,Hambantota,"Nov 24, 2025","Rs. 37,600"
Samsung Galaxy A53 64GB,Samsung,Galaxy A53,64GB,6GB RAM,Used,No,Colombo,"Nov 24, 2025","Rs. 98,400"
Xiaomi Mi 11 Lite 256GB,Xiaomi,Mi 11 Lite,256GB,6GB RAM,New,No,Mannar,6 days ago,"Rs. 50,300"
Samsung Galaxy A13 512GB,Samsung,Galaxy A13,512GB,6GB RAM,Like New,No,Colombo,2 weeks ago,"Rs. 256,300"
Realme Realme GT Neo 2 128GB,Realme,Realme GT Neo 2,128GB,6GB RAM,Used,No,Colombo,"Dec 24, 2025","Rs. 35,400"
Vivo Vivo Y33s 128GB,Vivo,Vivo Y33s,128GB,6GB RAM,Used,No,Kurunegala,4 days ago,"Rs. 82,800"
Samsung Galaxy M32 256GB,Samsung,Galaxy M32,256GB,8GB RAM,Used,No,Colombo,1 week ago,"Rs. 144,200"
Huawei Huawei Nova 5T 128GB (Warranty),Huawei,Huawei Nova 5T,128GB,4GB RAM,Like New,Yes,Jaffna,"Dec 24, 2025","Rs. 91,600"
Oppo Oppo A16 64GB,Oppo,Oppo A16,64GB,6GB RAM,Like New,No,Gampaha,4 days ago,"Rs. 25,500"
Nokia Nokia G20 128GB (Warranty),Nokia,Nokia G20,128GB,6GB RAM,Used,Yes,Kalutara,2 weeks ago,"Rs. 18,800"
Oppo Oppo F19 256GB,Oppo,Oppo F19,256GB,12GB RAM,Like New,No,Batticaloa,"Dec 24, 2025","Rs. 82,000"
Apple iPhone 12 Pro 256GB,Apple,iPhone 12 Pro,256GB,8GB RAM,New,No,Kilinochchi,"Aug 26, 2025","Rs. 436,400"
Vivo Vivo Y75 128GB,Vivo,Vivo Y75,128GB,8GB RAM,Used,No,Polonnaruwa,2 weeks ago,"Rs. 86,500"
Realme Realme C30 128GB,Realme,Realme C30,128GB,4GB RAM,Used,No,Gampaha,1 week ago,"Rs. 49,600"
Apple iPhone 13 128GB,Apple,iPhone 13,128GB,3GB RAM,Used,No,Gampaha,3 weeks ago,"Rs. 95,100"
Vivo Vivo V21 32GB,Vivo,Vivo V21,32GB,4GB RAM,Used,No,Matale,1 week ago,"Rs. 40,200"
Motorola Moto E40 128GB (Warranty),Motorola,Moto E40,128GB,6GB RAM,Like New,Yes,Kandy,1 week ago,"Rs. 59,000"
Realme Realme GT Neo 2 64GB,Realme,Realme GT Neo 2,64GB,4GB RAM,Used,No,Colombo,2 weeks ago,"Rs. 50,500"
Apple iPhone XS Max 128GB,Apple,iPhone XS Max,128GB,6GB RAM,Used,No,Gampaha,2 weeks ago,"Rs. 199,800"
Oneplus OnePlus 10 Pro 128GB,Oneplus,OnePlus 10 Pro,128GB,3GB RAM,Used,No,Unknown,1 week ago,"Rs. 155,600"
Realme Realme GT Neo 2 32GB (Warranty),Realme,Realme GT Neo 2,32GB,2GB RAM,Used,Yes,Ratnapura,6 days ago,"Rs. 43,200"
Huawei Huawei Y7a 128GB (Warranty),Huawei,Huawei Y7a,128GB,3GB RAM,Used,Yes,Colombo,"Nov 24, 2025","Rs. 196,400"
